Date,Description,Amount,Currency,Merchant
01/15/2026,AMAZON.COM*1Z8Q4K AMZN.COM/BILL,-42.99,USD,Amazon
01/16/2026,STARBUCKS #12345 SAN FRANCISCO CA,-6.75,USD,Starbucks
01/17/2026,WHOLE FOODS MARKET #321,-87.32,USD,Whole Foods
01/18/2026,PAYROLL DEPOSIT - ACME CORP,3200.00,USD,Acme Corp
01/19/2026,NETFLIX.COM,-15.99,USD,Netflix
01/20/2026,LYFT *RIDE 01-20 TXN,-14.50,USD,Lyft
01/21/2026,TRADER JOE'S #442,-62.11,USD,Trader Joe's
01/22/2026,GOOGLE *CLOUD,-9.00,USD,Google
01/22/2026,ATM WITHDRAWAL CHASE BANK,-200.00,USD,
01/23/2026,VENMO PAYMENT - JOHN DOE,-50.00,USD,Venmo
01/23/2026,INTEREST PAYMENT,1.23,USD,
01/24/2026,TARGET STORE 0592,-38.47,USD,Target
01/24/2026,SPOTIFY USA,-9.99,USD,Spotify
01/25/2026,SQ *LOCAL COFFEE SHOP,-4.25,USD,
01/26/2026,ELECTRIC BILL PAYMENT,-125.00,USD,PG&E
